 FID IID PHE CHR SNP1 SNP2 POS1 POS2 KB NSNP DENSITY PHOM PHET
 183195332 183195332 -9.000 1 . . 163394 3617854 3454.461 338 10.220 0.982 0.018
 183195332 183195332 -9.000 1 . . 4128728 4754767 626.040 71 8.817 0.972 0.028
 183195332 183195332 -9.000 1 . . 5035086 5753227 718.142 63 11.399 0.984 0.016
 183195332 183195332 -9.000 1 . . 6078622 7196391 1117.770 60 18.630 0.983 0.017
 183195332 183195332 -9.000 1 . . 7417481 12286051 4868.571 525 9.273 0.990 0.010
 183195332 183195332 -9.000 1 . . 12289003 13443770 1154.768 85 13.586 0.976 0.024
 183195332 183195332 -9.000 1 . . 13943301 14478520 535.220 119 4.498 0.992 0.008
 183195332 183195332 -9.000 1 . . 14575543 15891177 1315.635 193 6.817 0.984 0.016
 183195332 183195332 -9.000 1 . . 15891202 16505889 614.688 60 10.245 0.983 0.017
 183195332 183195332 -9.000 1 . . 16766446 17334114 567.669 108 5.256 0.981 0.019
 183195332 183195332 -9.000 1 . . 17334240 18050149 715.910 112 6.392 0.982 0.018
 183195332 183195332 -9.000 1 . . 18721117 19179877 458.761 128 3.584 1.000 0.000
 183195332 183195332 -9.000 1 . . 19229012 23147830 3918.819 465 8.428 0.994 0.006
 183195332 183195332 -9.000 1 . . 23188139 24988239 1800.101 226 7.965 0.987 0.013
 183195332 183195332 -9.000 1 . . 25244540 26297706 1053.167 259 4.066 0.985 0.015
 183195332 183195332 -9.000 1 . . 26656083 27510668 854.586 161 5.308 0.994 0.006
 183195332 183195332 -9.000 1 . . 27701345 28752793 1051.449 96 10.953 0.979 0.021
 183195332 183195332 -9.000 1 . . 28777996 30542324 1764.329 219 8.056 0.982 0.018
 183195332 183195332 -9.000 1 . . 30639265 32557599 1918.335 184 10.426 0.995 0.005
 183195332 183195332 -9.000 1 . . 33069789 35143327 2073.539 169 12.269 0.976 0.024
 183195332 183195332 -9.000 1 . . 35209769 38600161 3390.393 539 6.290 0.983 0.017
 183195332 183195332 -9.000 1 . . 38600202 39509857 909.656 91 9.996 0.978 0.022
 183195332 183195332 -9.000 1 . . 39709798 40489092 779.295 59 13.208 0.983 0.017
 183195332 183195332 -9.000 1 . . 40681527 49201229 8519.703 758 11.240 0.987 0.013
 183195332 183195332 -9.000 1 . . 49240413 49838616 598.204 67 8.928 0.985 0.015
 183195332 183195332 -9.000 1 . . 49980947 52348079 2367.133 181 13.078 0.983 0.017
 183195332 183195332 -9.000 1 . . 52348130 55622964 3274.835 324 10.108 0.997 0.003
 183195332 183195332 -9.000 1 . . 55623019 56801490 1178.472 165 7.142 0.988 0.012
 183195332 183195332 -9.000 1 . . 56801768 57635646 833.879 98 8.509 0.980 0.020
 183195332 183195332 -9.000 1 . . 57742443 58475429 732.987 96 7.635 0.979 0.021
 183195332 183195332 -9.000 1 . . 58482183 59451787 969.605 130 7.459 0.992 0.008
 183195332 183195332 -9.000 1 . . 59619871 59965830 345.960 67 5.164 0.985 0.015
 183195332 183195332 -9.000 1 . . 59969903 63846232 3876.330 376 10.309 0.989 0.011
 183195332 183195332 -9.000 1 . . 64194080 65660118 1466.039 200 7.330 0.985 0.015
 183195332 183195332 -9.000 1 . . 65662155 67025806 1363.652 228 5.981 0.987 0.013
 183195332 183195332 -9.000 1 . . 67573026 69784934 2211.909 239 9.255 0.983 0.017
 183195332 183195332 -9.000 1 . . 69839866 70636846 796.981 80 9.962 0.988 0.013
 183195332 183195332 -9.000 1 . . 70877740 71255139 377.400 50 7.548 0.980 0.020
 183195332 183195332 -9.000 1 . . 72121313 74613670 2492.358 257 9.698 0.988 0.012
 183195332 183195332 -9.000 1 . . 74614034 75776456 1162.423 147 7.908 0.986 0.014
 183195332 183195332 -9.000 1 . . 75776510 77486652 1710.143 155 11.033 0.987 0.013
 183195332 183195332 -9.000 1 . . 77486739 79666089 2179.351 252 8.648 0.992 0.008
 183195332 183195332 -9.000 1 . . 79687716 80709256 1021.541 132 7.739 0.992 0.008
 183195332 183195332 -9.000 1 . . 80750939 83124717 2373.779 179 13.261 0.983 0.017
 183195332 183195332 -9.000 1 . . 83124753 86255828 3131.076 365 8.578 0.995 0.005
 183195332 183195332 -9.000 1 . . 86522580 91036432 4513.853 408 11.063 0.995 0.005
 183195332 183195332 -9.000 1 . . 91046749 96384679 5337.931 546 9.776 0.995 0.005
